Identifiant;Chaine;startDate;DureeSecondes;TitreSujet;TitreEmission;TitreCollection;TitreTrancheHoraire;Chapeau;Descripteurs;Generique
"5671712_001_014";"France Culture";"2013-06-07T08:16:00+01:00";"321";"La chronique de Brice Couturier";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_015";"France Culture";"2013-06-07T08:19:00+01:00";"1675";"L'invité des matins";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_016";"France Culture";"2013-06-07T08:50:00+01:00";"283";"Tout feu, tout flamme";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671739_001_001";"France Culture";"2013-06-07T11:02:00+01:00";"979";"Le retour de";"En direct du MuCEM à Marseille : économie touristique en Méditerranée";"";"Culturesmonde";"";"";""
"5671741_001_001";"France Culture";"2013-06-07T11:50:00+01:00";"413";"Europe connexion : 5ème épisode";"Europe connexion : 5ème épisode";"Micro fiction";"";"";"";""
"5671756_001_001";"France Culture";"2013-06-07T16:02:00+01:00";"631";"Je déballe ma bibliothèque";"Des balles et des ballons : 5ème émission : Des ronds dans le son";"";"Pas la peine de crier";"";"";""
"5671756_001_002";"France Culture";"2013-06-07T16:15:00+01:00";"265";"Polaroïd";"Des balles et des ballons : 5ème émission : Des ronds dans le son";"";"Pas la peine de crier";"";"";""
"5671756_001_003";"France Culture";"2013-06-07T16:50:00+01:00";"150";"Poème du jour";"Des balles et des ballons : 5ème émission : Des ronds dans le son";"";"Pas la peine de crier";"";"";""
"5671759_001_005";"France Culture";"2013-06-07T16:50:00+01:00";"";"Tout autour de Beaubourg";"L'infraordinaire : 5ème émission";"Poème du jour";"Pas la peine de crier";"";"";"Perec, Georges (Auteur de l'oeuvre pré-existante)"
"5671770_001_005";"France Culture";"2013-06-07T19:03:00+01:00";"";"Sum O' Sometimes";"Daniel Buren, Bernard Henri Lévy";"Le rendez vous";"";"";"";""
"5671772_001_001";"France Culture";"2013-06-07T19:54:00+01:00";"0";"André Wilms lit des extraits de ""Au jour le jour"" de Jean Bollack";"Au jour le jour : 10ème émission";"Lecture du soir";"Fiction. Lecture";"";"";""
"5671776_001_001";"France Culture";"2013-06-07T20:30:30+01:00";"1197";"Pages arrachées au journal de Mireille Havet (5/5)";"Mireille Havet : 5ème épisode";"Pages arrachées";"Le feuilleton";"";"";""
"5671785_001_002";"France Culture";"2013-06-07T23:02:00+01:00";"";"Birds in Berlin";"L'Aatelier de Liesa van der Aa";"L'atelier du son";"Les ateliers de la nuit";"";"";"Van der Aa, Liesa (Compositeur de la musique originale)"
"5671785_001_003";"France Culture";"2013-06-07T23:02:00+01:00";"";"Troops";"L'Aatelier de Liesa van der Aa";"L'atelier du son";"Les ateliers de la nuit";"";"";"Van der Aa, Liesa (Auteur de l'oeuvre pré-existante)"
"5671787_001_001";"France Culture";"2013-06-08T00:35:00+01:00";"1854";"Nuits spéciales";"Les nuits de France Culture : émission du 08 juin 2013";"";"Les nuits de France Culture";"";"";""
"5671787_001_002";"France Culture";"2013-06-08T01:05:53+01:00";"3600";"Les chemins de la liberté";"Les nuits de France Culture : émission du 08 juin 2013";"";"Les nuits de France Culture";"";"";""
"5671788_001_001";"France Culture";"2013-06-08T01:06:10+01:00";"";"L'âge de raison";"Jean Paul Sartre : 1ère émission";"Nuits spéciales";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5671789_001_001";"France Culture";"2013-06-08T01:06:10+01:00";"";"L'âge de raison";"L'âge de raison : 1er et 2ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5671787_001_003";"France Culture";"2013-06-08T02:05:53+01:00";"3968";"Les chemins de la liberté";"Les nuits de France Culture : émission du 08 juin 2013";"";"Les nuits de France Culture";"";"";""
"5671790_001_002";"France Culture";"2013-06-08T02:05:53+01:00";"";"L'âge de raison";"L'âge de raison : 3ème et 4ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5671787_001_004";"France Culture";"2013-06-08T03:12:01+01:00";"3600";"Les chemins de la liberté";"Les nuits de France Culture : émission du 08 juin 2013";"";"Les nuits de France Culture";"";"";""
"5671792_001_003";"France Culture";"2013-06-08T03:12:10+01:00";"";"L'âge de raison";"L'âge de raison : 5ème et 6ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5671787_001_005";"France Culture";"2013-06-08T04:12:01+01:00";"3668";"Les chemins de la liberté";"Les nuits de France Culture : émission du 08 juin 2013";"";"Les nuits de France Culture";"";"";""
"5671793_001_004";"France Culture";"2013-06-08T04:12:01+01:00";"";"L'âge de raison";"L'âge de raison : 7ème et 8ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5671787_001_006";"France Culture";"2013-06-08T05:13:09+01:00";"3600";"Les chemins de la liberté";"Les nuits de France Culture : émission du 08 juin 2013";"";"Les nuits de France Culture";"";"";""
"5671795_001_005";"France Culture";"2013-06-08T05:13:09+01:00";"";"L'âge de raison";"L'âge de raison : 9ème et 10ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5680082_001_001";"France Culture";"2013-06-08T21:01:00+01:00";"3402";"La boîte à joujoux";"La boîte à joujoux";"";"Drôles de drames";"";"";"Debussy, Claude (Compositeur de la musique pré-existante)|Desplechin, Marie (Auteur du texte parlé)"
"5680085_001_001";"France Culture";"2013-06-09T00:00:00+01:00";"1657";"Nuits spéciales";"Les nuits de France Culture : émission du 09 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680085_001_002";"France Culture";"2013-06-09T00:27:37+01:00";"3900";"Les chemins de la liberté";"Les nuits de France Culture : émission du 09 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680085_001_003";"France Culture";"2013-06-09T01:32:37+01:00";"3600";"Les chemins de la liberté";"Les nuits de France Culture : émission du 09 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680085_001_004";"France Culture";"2013-06-09T02:32:37+01:00";"697";"Nuits spéciales";"Les nuits de France Culture : émission du 09 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680085_001_005";"France Culture";"2013-06-09T02:44:13+01:00";"3600";"Les chemins de la liberté";"Les nuits de France Culture : émission du 09 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680085_001_006";"France Culture";"2013-06-09T03:44:13+01:00";"3668";"Les chemins de la liberté";"Les nuits de France Culture : émission du 09 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680085_001_007";"France Culture";"2013-06-09T04:45:21+01:00";"3600";"Les chemins de la liberté";"Les nuits de France Culture : émission du 09 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680085_001_008";"France Culture";"2013-06-09T05:47:01+01:00";"2401";"Grandes conférences";"Les nuits de France Culture : émission du 09 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680132_001_001";"France Culture";"2013-06-09T20:00:00+01:00";"0";"Pour diagonales";"Alexis Pelletier";"Ca rime à quoi";"";"";"";""
"5680132_001_002";"France Culture";"2013-06-09T20:00:00+01:00";"";"Un présent ";"Alexis Pelletier";"Ca rime à quoi";"";"";"";""
"5680132_001_003";"France Culture";"2013-06-09T20:00:00+01:00";"";"Le grand réel ";"Alexis Pelletier";"Ca rime à quoi";"";"";"";""
"5680136_001_001";"France Culture";"2013-06-09T21:01:30+01:00";"4286";"Avant que la nuite tombe";"Avant que la nuite tombe";"";"Théâtre et Cie";"";"";"Lobo Antunes, Antonio (Auteur de l'oeuvre pré-existante)"
"5680138_001_001";"France Culture";"2013-06-09T22:05:30+01:00";"2465";"Empire";"Empire ";"";"Théâtre et Cie";"";"";""
"5680139_001_006";"France Culture";"2013-06-09T23:00:00+01:00";"";"On ne quitte pas son ami";"Christian Olivier";"Chanson boum";"";"";"";"Têtes raides-groupe (Compositeur de la musique pré-existante)|Desnos, Robert (Auteur de l'oeuvre pré-existante)"
"5680139_001_004";"France Culture";"2013-06-09T23:00:00+01:00";"0";"Avec moi Dieu le chien";"Christian Olivier";"Chanson boum";"";"";"";"Têtes raides-groupe (Compositeur de la musique pré-existante)|Artaud, Antonin (Auteur de l'oeuvre pré-existante)"
"5680139_001_005";"France Culture";"2013-06-09T23:00:00+01:00";"";"Enfant m'a dit";"Christian Olivier";"Chanson boum";"";"";"";"Têtes raides-groupe (Compositeur de la musique pré-existante)|Queneau, Raymond (Auteur de l'oeuvre pré-existante)"
"5680139_001_007";"France Culture";"2013-06-09T23:00:00+01:00";"";"Neige";"Christian Olivier";"Chanson boum";"";"";"";"Têtes raides-groupe (Compositeur de la musique pré-existante)|Tsvetaeva, Marina (Auteur de l'oeuvre pré-existante)"
"5680139_001_008";"France Culture";"2013-06-09T23:00:00+01:00";"";"Cheval rouge";"Christian Olivier";"Chanson boum";"";"";"";"Têtes raides-groupe (Compositeur de la musique pré-existante)|Prévert, Jacques (Auteur de l'oeuvre pré-existante)"
"5680139_001_009";"France Culture";"2013-06-09T23:00:00+01:00";"";"Corps de cris";"Christian Olivier";"Chanson boum";"";"";"";"Têtes raides-groupe (Compositeur de la musique pré-existante)|Prévert, Jacques (Auteur de l'oeuvre pré-existante)"
"5680139_001_010";"France Culture";"2013-06-09T23:00:00+01:00";"";"Qui est là";"Christian Olivier";"Chanson boum";"";"";"";"Têtes raides-groupe (Compositeur de la musique pré-existante)|Soupault, Philippe (Auteur de l'oeuvre pré-existante)"
"5680139_001_011";"France Culture";"2013-06-09T23:00:00+01:00";"";"J'achète un fusil";"Christian Olivier";"Chanson boum";"";"";"";"Têtes raides-groupe (Compositeur de la musique pré-existante)|Soupault, Philippe (Auteur de l'oeuvre pré-existante)"
"5680139_001_012";"France Culture";"2013-06-09T23:00:00+01:00";"";"Ginette";"Christian Olivier";"Chanson boum";"";"";"";"Têtes raides-groupe (Compositeur de la musique pré-existante)|Olivier, Christian (Auteur de l'oeuvre pré-existante)"
"5680139_001_013";"France Culture";"2013-06-09T23:00:00+01:00";"";"Pont Mirabeau";"Christian Olivier";"Chanson boum";"";"";"";"Têtes raides-groupe (Compositeur de la musique pré-existante)|Apollinaire, Guillaume (Auteur de l'oeuvre pré-existante)"
"5680139_001_014";"France Culture";"2013-06-09T23:00:00+01:00";"";"Love me tender";"Christian Olivier";"Chanson boum";"";"";"";"Presley, Elvis (Auteur de l'oeuvre pré-existante)|Darby, Ken (Auteur de l'oeuvre pré-existante)|Matson, Véra (Auteur de l'oeuvre pré-existante)"
"5680139_001_015";"France Culture";"2013-06-09T23:00:00+01:00";"";"Georgia";"Christian Olivier";"Chanson boum";"";"";"";"Têtes raides-groupe (Compositeur de la musique pré-existante)|Soupault, Philippe (Auteur de l'oeuvre pré-existante)"
"5680087_001_009";"France Culture";"2013-06-09T24:27:37+01:00";"";"L'âge de raison";"L'âge de raison : 11ème et 12ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5680088_001_010";"France Culture";"2013-06-09T25:32:37+01:00";"";"L'âge de raison";"L'âge de raison : 13ème et 14ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5680090_001_007";"France Culture";"2013-06-09T26:44:13+01:00";"";"Le sursis";"Le sursis : 1er et 2ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5680091_001_008";"France Culture";"2013-06-09T27:44:13+01:00";"";"Le sursis";"Le sursis : 3ème et 4ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5680093_001_009";"France Culture";"2013-06-09T28:45:21+01:00";"";"Le sursis";"Le sursis : 5ème et 6ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5680141_001_001";"France Culture";"2013-06-10T00:00:00+01:00";"1712";"Nuits spéciales";"Les nuits de France Culture : émission du 10 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680141_001_002";"France Culture";"2013-06-10T00:28:32+01:00";"3900";"Les chemins de la liberté";"Les nuits de France Culture : émission du 10 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680141_001_003";"France Culture";"2013-06-10T01:33:32+01:00";"3300";"Les chemins de la liberté";"Les nuits de France Culture : émission du 10 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680141_001_004";"France Culture";"2013-06-10T02:28:32+01:00";"572";"Nuits spéciales";"Les nuits de France Culture : émission du 10 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680141_001_005";"France Culture";"2013-06-10T02:38:04+01:00";"3900";"Les chemins de la liberté";"Les nuits de France Culture : émission du 10 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680141_001_006";"France Culture";"2013-06-10T03:43:04+01:00";"3968";"Les chemins de la liberté";"Les nuits de France Culture : émission du 10 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680141_001_007";"France Culture";"2013-06-10T04:49:12+01:00";"3900";"Les chemins de la liberté";"Les nuits de France Culture : émission du 10 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680152_001_001";"France Culture";"2013-06-10T06:30:30+01:00";"286";"Journal 06h30";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_002";"France Culture";"2013-06-10T06:35:00+01:00";"411";"L'essai et la revue du jour";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_003";"France Culture";"2013-06-10T06:42:00+01:00";"168";"La chronique de Jean Louis Ezine";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_004";"France Culture";"2013-06-10T06:45:00+01:00";"801";"Les enjeux internationaux";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_005";"France Culture";"2013-06-10T06:57:00+01:00";"60";"Interprogrammes";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_006";"France Culture";"2013-06-10T07:00:00+01:00";"718";"Journal 07h00";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_007";"France Culture";"2013-06-10T07:12:00+01:00";"172";"Trait pour trait";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_008";"France Culture";"2013-06-10T07:17:00+01:00";"462";"Le monde selon";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_009";"France Culture";"2013-06-10T07:24:00+01:00";"301";"Revue de presse internationale";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_010";"France Culture";"2013-06-10T07:30:00+01:00";"260";"Le choix de la rédaction";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_011";"France Culture";"2013-06-10T07:36:00+01:00";"169";"Le billet politique d'Hubert Huertas";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_012";"France Culture";"2013-06-10T07:39:00+01:00";"234";"Les idées claires";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_013";"France Culture";"2013-06-10T07:42:00+01:00";"829";"L'invité des matins";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_014";"France Culture";"2013-06-10T07:56:00+01:00";"152";"La chronique de Philippe Meyer";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_015";"France Culture";"2013-06-10T08:00:00+01:00";"919";"Journal 08h00";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_016";"France Culture";"2013-06-10T08:15:00+01:00";"30";"Interprogrammes";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_017";"France Culture";"2013-06-10T08:16:00+01:00";"290";"La chronique de Brice Couturier";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_018";"France Culture";"2013-06-10T08:19:00+01:00";"1889";"L'invité des matins";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680152_001_019";"France Culture";"2013-06-10T08:50:00+01:00";"297";"Tout feu, tout flamme";"Ali Ahani, François Nicoullaud";"";"Les matins de France Culture";"";"";""
"5680180_001_001";"France Culture";"2013-06-10T11:30:00+01:00";"335";"Frontières";"Semaine spéciale Iran : 1ère émission";"";"Culturesmonde";"";"";""
"5680182_001_001";"France Culture";"2013-06-10T11:50:00+01:00";"389";"Europe connexion de Alexandra Badea 6/10";"Europe connexion : 6ème épisode";"Micro fiction";"";"";"";""
"5680197_001_001";"France Culture";"2013-06-10T16:02:00+01:00";"519";"Je déballe ma bibliothèque";"Souvenirs : Instants de vie";"";"Pas la peine de crier";"";"";""
"5680197_001_002";"France Culture";"2013-06-10T16:15:00+01:00";"497";"Polaroïd";"Souvenirs : Instants de vie";"";"Pas la peine de crier";"";"";""
"5680197_001_003";"France Culture";"2013-06-10T16:50:00+01:00";"128";"Poème du jour";"Souvenirs : Instants de vie";"";"Pas la peine de crier";"";"";""
"5680200_001_002";"France Culture";"2013-06-10T16:50:00+01:00";"";"Le vent";"Le vent de Léo Ferré";"Poème du jour";"Pas la peine de crier";"";"";"Ferré, Léo (Auteur de l'oeuvre pré-existante)"
"5680211_001_001";"France Culture";"2013-06-10T19:30:20+01:00";"";"Improvisation";"Nader Takmil Homayoun, Ali Mosaffa";"Le rendez vous";"";"";"";""
"5680217_001_001";"France Culture";"2013-06-10T20:30:30+01:00";"";"Pages arrachées au journal de Mireille Havet (1927-1928)";"Mireille Havet : 1er épisode";"Pages arrachées";"Le feuilleton";"";"";""
"5680143_001_001";"France Culture";"2013-06-10T24:28:32+01:00";"";"Le sursis";"Le sursis : 7ème et 8ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5680144_001_002";"France Culture";"2013-06-10T25:33:32+01:00";"";"Le sursis";"Le sursis : 9ème et 10ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Réalisateur)"
"5680146_001_003";"France Culture";"2013-06-10T26:38:04+01:00";"";"La mort dans l'âme ";"La mort dans l'âme : 1er et 2ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5680147_001_004";"France Culture";"2013-06-10T27:43:04+01:00";"";"La mort dans l'âme ";"La mort dans l'âme : 3ème et 4ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5680149_001_005";"France Culture";"2013-06-10T28:48:12+01:00";"";"La mort dans l'âme ";"La mort dans l'âme : 5ème et 6ème épisode";"Les chemins de la liberté";"Les nuits de France Culture";"";"";"Sartre, Jean Paul (Auteur de l'oeuvre pré-existante)"
"5680229_001_001";"France Culture";"2013-06-11T01:31:38+01:00";"5701";"Les maîtres du roman populaire français";"Les nuits de France Culture : émission du 11 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680229_001_002";"France Culture";"2013-06-11T03:06:38+01:00";"1785";"Peinture en France : un musée, un chef d'oeuvre";"Les nuits de France Culture : émission du 11 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680229_001_003";"France Culture";"2013-06-11T03:36:38+01:00";"5100";"Les nuits magnétiques";"Les nuits de France Culture : émission du 11 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680229_001_004";"France Culture";"2013-06-11T05:02:38+01:00";"3436";"L'espace entre les barreaux, lettres d'une persane";"Les nuits de France Culture : émission du 11 juin 2013";"";"Les nuits de France Culture";"";"";""
"5680236_001_001";"France Culture";"2013-06-11T06:30:30+01:00";"320";"Journal 06h30";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_002";"France Culture";"2013-06-11T06:35:00+01:00";"384";"L'essai et la revue du jour";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_003";"France Culture";"2013-06-11T06:42:00+01:00";"139";"La chronique de Jean Louis Ezine";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_004";"France Culture";"2013-06-11T06:45:00+01:00";"806";"Les enjeux internationaux";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_005";"France Culture";"2013-06-11T06:57:00+01:00";"60";"Interprogrammes";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_006";"France Culture";"2013-06-11T07:00:00+01:00";"732";"Journal 07h00";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_007";"France Culture";"2013-06-11T07:12:00+01:00";"163";"Trait pour trait";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_008";"France Culture";"2013-06-11T07:17:00+01:00";"453";"Le monde selon";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_009";"France Culture";"2013-06-11T07:24:00+01:00";"300";"Revue de presse internationale";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_010";"France Culture";"2013-06-11T07:30:00+01:00";"269";"Le choix de la rédaction";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_011";"France Culture";"2013-06-11T07:36:00+01:00";"167";"Le billet politique d'Hubert Huertas";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_012";"France Culture";"2013-06-11T07:39:00+01:00";"273";"Les idées claires";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_013";"France Culture";"2013-06-11T07:42:00+01:00";"837";"L'invité des matins";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_014";"France Culture";"2013-06-11T07:56:00+01:00";"194";"La chronique de Philippe Meyer";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_015";"France Culture";"2013-06-11T08:00:00+01:00";"906";"Journal 08h00";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_016";"France Culture";"2013-06-11T08:15:00+01:00";"30";"Interprogrammes";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_017";"France Culture";"2013-06-11T08:16:00+01:00";"215";"La chronique de Brice Couturier";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_018";"France Culture";"2013-06-11T08:19:00+01:00";"1885";"L'invité des matins";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680236_001_019";"France Culture";"2013-06-11T08:50:00+01:00";"265";"Tout feu, tout flamme";"Jean-Pierre Couteron, Sylvie Wieviorka";"";"Les matins de France Culture";"";"";""
"5680264_001_001";"France Culture";"2013-06-11T11:30:00+01:00";"329";"Frontières";"Semaine spéciale Iran : 2ème émission";"";"Culturesmonde";"";"";""
"5680266_001_001";"France Culture";"2013-06-11T11:50:00+01:00";"373";"Europe connexion de Alexandra Badea 7/10";"Europe connexion : 7ème épisode";"Micro fiction";"";"";"";""
"5680281_001_001";"France Culture";"2013-06-11T16:02:00+01:00";"642";"Je déballe ma bibliothèque";"Souvenirs : La fabrication du souvenir";"";"Pas la peine de crier";"";"";""
"5680281_001_002";"France Culture";"2013-06-11T16:15:00+01:00";"414";"Polaroïd";"Souvenirs : La fabrication du souvenir";"";"Pas la peine de crier";"";"";""
"5680281_001_003";"France Culture";"2013-06-11T16:50:00+01:00";"124";"Poème du jour";"Souvenirs : La fabrication du souvenir";"";"Pas la peine de crier";"";"";""
