Identifiant;Chaine;startDate;endDate;referenceDate;DureeSecondes;TitreEmission;TitreCollection;TitreTrancheHoraire;Chapeau;NatureProduction;Producteurs;Descripteurs;Generiques;Genres;Thematique;IdentifiantMediametrie;IdentifiantImedia
"404190_016";"France 24";"2013-06-07T06:40:00+01:00";"2013-06-07T06:45:00+01:00";"2013-06-07";"300";"Japon : voyage de François Hollande";"Asie directe";"";"";"Achat de droits de diffusion";"";"";"Linton, Marie (Journaliste)";"Reportage|Revue de presse";"";"0";"52998150"
"404190_017";"France 24";"2013-06-07T06:45:00+01:00";"2013-06-07T06:48:00+01:00";"2013-06-07";"180";"Rappel des titres : [émission du 07 juin 2013]";"Rappel des titres";"";"";"Production propre";"";"";"";"Message info";"Information";"0";"52998151"
"404190_018";"France 24";"2013-06-07T06:48:00+01:00";"2013-06-07T06:56:00+01:00";"2013-06-07";"480";"Journal de l'économie : [émission du 07 juin 2013]";"Journal de l'économie";"";"";"Production propre";"";"";"";"Magazine|Reportage";"Economie";"0";"52998152"
"404190_020";"France 24";"2013-06-07T07:00:46+01:00";"2013-06-07T07:15:19+01:00";"2013-06-07";"873";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"France 24, 2013 (Producteur)";"";"Pirzadeh, Mariam (Présentateur)";"Journal télévisé";"";"0";"52998154"
"404190_021";"France 24";"2013-06-07T07:10:00+01:00";"2013-06-07T07:15:00+01:00";"2013-06-07";"300";"Revue de presse nationale : [émission du 07 juin 2013]";"Revue de presse nationale";"";"";"Production propre";"";"";"Leurent, Pierrick (Présentateur)";"Revue de presse";"Information";"0";"52998155"
"404190_022";"France 24";"2013-06-07T07:15:00+01:00";"2013-06-07T07:18:00+01:00";"2013-06-07";"180";"Rappel des titres : [émission du 07 juin 2013]";"Rappel des titres";"";"";"Production propre";"";"";"";"Message info";"Information";"0";"52998156"
"404190_194";"France 24";"2013-06-07T07:15:28+01:00";"2013-06-07T07:20:41+01:00";"2013-06-07";"313";"Journal de l'économie : [émission du 07 juin 2013]";"Journal de l'économie";"";"";"Production propre";"France 24, 2013 (Producteur)";"";"Bounafaa, Myriam (Présentateur)";"null";"";"0";""
"404190_023";"France 24";"2013-06-07T07:18:00+01:00";"2013-06-07T07:26:00+01:00";"2013-06-07";"480";"Focus : [émission du 07 juin 2013]";"Focus";"";"";"Production propre";"";"";"";"Magazine|Reportage";"Information";"0";"52998157"
"404190_013";"France 24";"2013-06-07T07:20:52+01:00";"2013-06-07T07:25:29+01:00";"2013-06-07";"277";"Revue de presse nationale : [émission du 07 juin 2013]";"Revue de presse nationale";"";"";"Production propre";"France 24, 2013 (Producteur)";"";"Leurent, Pierrick (Présentateur)";"Revue de presse";"Information";"0";"52998147"
"404190_025";"France 24";"2013-06-07T07:30:00+01:00";"2013-06-07T07:40:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998159"
"404190_026";"France 24";"2013-06-07T07:40:00+01:00";"2013-06-07T07:45:00+01:00";"2013-06-07";"300";"Sur le Net : [émission du 07 juin 2013]";"Sur le Net";"";"";"Achat de droits commande";"France 24, 2013 (Producteur)";"";"";"Magazine|Reportage";"Media";"0";"52998160"
"404190_027";"France 24";"2013-06-07T07:45:00+01:00";"2013-06-07T07:48:00+01:00";"2013-06-07";"180";"Rappel des titres : [émission du 07 juin 2013]";"Rappel des titres";"";"";"Production propre";"";"";"";"Message info";"Information";"0";"52998161"
"404190_195";"France 24";"2013-06-07T07:47:31+01:00";"2013-06-07T07:50:50+01:00";"2013-06-07";"199";"Israël : pays le plus pauvre des pays riches selon l'OCDE";"Focus";"";"Magazine d'information présenté par Mariam PIRZADEH sur le niveau de pauvreté en Israël.";"Production propre";"France 24, 2013 (Producteur)";"misère|exclusion|politique sociale|Israël|pauvreté";"Fenwick, Gallagher (Journaliste)|Pirzadeh, Mariam (Présentateur)";"Magazine|Interview entretien";"";"0";""
"404190_028";"France 24";"2013-06-07T07:48:00+01:00";"2013-06-07T07:56:00+01:00";"2013-06-07";"480";"Journal de l'économie : [émission du 07 juin 2013]";"Journal de l'économie";"";"";"Production propre";"";"";"";"Magazine|Reportage";"Economie";"0";"52998162"
"404190_030";"France 24";"2013-06-07T08:00:00+01:00";"2013-06-07T08:10:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998164"
"404190_031";"France 24";"2013-06-07T08:10:00+01:00";"2013-06-07T08:15:00+01:00";"2013-06-07";"300";"Sports : [émission du 07 juin 2013]";"Sports";"";"";"Achat de droits de diffusion";"";"";"";"Magazine|Reportage";"Sports";"0";"52998165"
"404190_032";"France 24";"2013-06-07T08:15:00+01:00";"2013-06-07T08:18:00+01:00";"2013-06-07";"180";"Rappel des titres : [émission du 07 juin 2013]";"Rappel des titres";"";"";"Production propre";"";"";"";"Message info";"Information";"0";"52998166"
"404190_033";"France 24";"2013-06-07T08:18:00+01:00";"2013-06-07T08:26:00+01:00";"2013-06-07";"480";"Focus : [émission du 07 juin 2013]";"Focus";"";"";"Production propre";"";"";"";"Magazine|Reportage";"Information";"0";"52998167"
"404190_035";"France 24";"2013-06-07T08:30:00+01:00";"2013-06-07T08:42:00+01:00";"2013-06-07";"720";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998169"
"404190_036";"France 24";"2013-06-07T08:42:00+01:00";"2013-06-07T08:48:00+01:00";"2013-06-07";"360";"Turquie : Erdogan inflexible";"A la Une";"";"";"Production propre";"";"";"Rybinski, Gauthier (Présentateur)";"Magazine|Interview entretien";"Information";"0";"52998170"
"404190_037";"France 24";"2013-06-07T08:48:00+01:00";"2013-06-07T08:51:00+01:00";"2013-06-07";"180";"Rappel des titres : [émission du 07 juin 2013]";"Rappel des titres";"";"";"Production propre";"";"";"";"Message info";"Information";"0";"52998171"
"404190_038";"France 24";"2013-06-07T08:51:00+01:00";"2013-06-07T08:56:00+01:00";"2013-06-07";"300";"Sports : [émission du 07 juin 2013]";"Sports";"";"";"Achat de droits de diffusion";"";"";"";"Magazine|Reportage";"Sports";"0";"52998172"
"404190_040";"France 24";"2013-06-07T09:00:00+01:00";"2013-06-07T09:10:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998174"
"404190_041";"France 24";"2013-06-07T09:10:00+01:00";"2013-06-07T09:15:00+01:00";"2013-06-07";"300";"Revue de presse internationale : [émission du 07 juin 2013]";"Revue de presse internationale";"";"";"Production propre";"";"";"Leurent, Pierrick (Présentateur)";"Revue de presse";"Information";"0";"52998175"
"404190_042";"France 24";"2013-06-07T09:15:00+01:00";"2013-06-07T09:18:00+01:00";"2013-06-07";"180";"Rappel des titres : [émission du 07 juin 2013]";"Rappel des titres";"";"";"Production propre";"";"";"";"Message info";"Information";"0";"52998176"
"404190_043";"France 24";"2013-06-07T09:16:30+01:00";"2013-06-07T09:22:07+01:00";"2013-06-07";"337";"Journal de l'économie : [émission du 07 juin 2013]";"Journal de l'économie";"";"";"Production propre";"France 24, 2013 (Producteur)";"";"Bounafaa, Myriam (Présentateur)";"Magazine|Reportage";"Economie";"0";"52998177"
"404190_045";"France 24";"2013-06-07T09:30:00+01:00";"2013-06-07T09:40:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"Schmid, Dorothée (Participant)";"Journal télévisé";"";"0";"52998179"
"404190_046";"France 24";"2013-06-07T09:40:00+01:00";"2013-06-07T09:48:00+01:00";"2013-06-07";"480";"Culture : [émission du 07 Juin 2013]";"Culture";"";"";"";"";"";"Casanova, Valérie (Présentateur)";"Magazine";"";"0";"52998180"
"404190_196";"France 24";"2013-06-07T09:45:20+01:00";"2013-06-07T09:48:39+01:00";"2013-06-07";"199";"Reportage : [émission du 07 juin 2013]";"Reportage";"";"";"Production propre";"France 24, 2013 (Producteur)";"";"Pirzadeh, Mariam (Présentateur)";"Reportage";"";"0";""
"404190_047";"France 24";"2013-06-07T09:48:00+01:00";"2013-06-07T09:51:00+01:00";"2013-06-07";"180";"Rappel des titres : [émission du 07 juin 2013]";"Rappel des titres";"";"";"Production propre";"";"";"";"Message info";"Information";"0";"52998181"
"404190_048";"France 24";"2013-06-07T09:51:00+01:00";"2013-06-07T09:56:00+01:00";"2013-06-07";"300";"Sur le Net : [émission du 07 juin 2013]";"Sur le Net";"";"";"Achat de droits commande";"";"";"";"Magazine|Reportage";"Media";"0";"52998182"
"404190_050";"France 24";"2013-06-07T10:00:00+01:00";"2013-06-07T10:10:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998184"
"404190_051";"France 24";"2013-06-07T10:10:00+01:00";"2013-06-07T10:26:00+01:00";"2013-06-07";"960";"Droites en France : les nouveaux nationalistes";"Reporters";"";"";"Production propre";"";"";"Cormery, Antoine (Présentateur)";"Magazine|Reportage";"";"0";"52998185"
"404190_053";"France 24";"2013-06-07T10:30:00+01:00";"2013-06-07T10:41:00+01:00";"2013-06-07";"660";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998187"
"404190_054";"France 24";"2013-06-07T10:41:20+01:00";"2013-06-07T10:53:51+01:00";"2013-06-07";"751";"Culture : [émission du 07 juin 2013]";"Culture";"";"";"Production propre";"France 24, 2013 (Producteur)";"";"Dupont, Louise (Présentateur)";"Magazine|Reportage";"";"0";"52998188"
"404190_056";"France 24";"2013-06-07T11:00:00+01:00";"2013-06-07T11:10:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998190"
"404190_057";"France 24";"2013-06-07T11:10:00+01:00";"2013-06-07T11:14:00+01:00";"2013-06-07";"240";"Revue de presse nationale : [émission du 07 juin 2013]";"Revue de presse nationale";"";"";"Production propre";"";"";"Frade, Hélène (Présentateur)";"Revue de presse";"Information";"0";"52998191"
"404190_058";"France 24";"2013-06-07T11:14:00+01:00";"2013-06-07T11:26:00+01:00";"2013-06-07";"720";"Une semaine aux Amériques : [émission du 07 juin 2013]";"Une semaine aux Amériques";"";"";"Production propre";"";"";"Kahane, Raphaël (Présentateur)";"Magazine|Reportage";"Information";"0";"52998192"
"404190_060";"France 24";"2013-06-07T11:30:00+01:00";"2013-06-07T11:40:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998194"
"404190_061";"France 24";"2013-06-07T11:40:00+01:00";"2013-06-07T11:52:00+01:00";"2013-06-07";"720";"Les observateurs : Ligne Directe : [émission du 07 juin 2013]";"Les observateurs : Ligne Directe";"";"";"";"";"";"Pain, Julien (Présentateur)";"Magazine";"Société";"0";"52998195"
"404190_062";"France 24";"2013-06-07T11:52:00+01:00";"2013-06-07T11:57:00+01:00";"2013-06-07";"300";"Sur le Net : [émission du 07 juin 2013]";"Sur le Net";"";"";"Achat de droits commande";"";"";"";"Magazine|Reportage";"Media";"0";"52998196"
"404190_064";"France 24";"2013-06-07T12:00:00+01:00";"2013-06-07T12:11:00+01:00";"2013-06-07";"660";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"Grimaldi, Judith (Journaliste)";"Journal télévisé";"";"0";"52998198"
"404190_065";"France 24";"2013-06-07T12:11:00+01:00";"2013-06-07T12:27:00+01:00";"2013-06-07";"960";"Mairie de Paris : un combat de femmes";"Une comédie française";"";"";"Production propre";"";"";"";"Débat";"Politique";"0";"53000161"
"404190_067";"France 24";"2013-06-07T12:30:00+01:00";"2013-06-07T12:46:00+01:00";"2013-06-07";"960";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998200"
"404190_068";"France 24";"2013-06-07T12:46:00+01:00";"2013-06-07T12:56:00+01:00";"2013-06-07";"600";"Culture : [émission du 07 Juin 2013]";"Culture";"";"";"";"";"";"";"Magazine";"";"0";"52998201"
"404190_070";"France 24";"2013-06-07T13:00:00+01:00";"2013-06-07T13:11:00+01:00";"2013-06-07";"660";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998203"
"404190_071";"France 24";"2013-06-07T13:11:00+01:00";"2013-06-07T13:16:00+01:00";"2013-06-07";"300";"Revue de presse internationale : [émission du 07 juin 2013]";"Revue de presse internationale";"";"";"Production propre";"";"";"Frade, Hélène (Présentateur)";"Revue de presse";"Information";"0";"52998204"
"404190_072";"France 24";"2013-06-07T13:16:00+01:00";"2013-06-07T13:21:00+01:00";"2013-06-07";"300";"Sports : [émission du 07 juin 2013]";"Sports";"";"";"Achat de droits de diffusion";"";"";"";"Magazine|Reportage";"Sports";"0";"52998205"
"404190_073";"France 24";"2013-06-07T13:21:00+01:00";"2013-06-07T13:26:00+01:00";"2013-06-07";"300";"Sur le Net : [émission du 07 juin 2013]";"Sur le Net";"";"";"Achat de droits commande";"";"";"";"Magazine|Reportage";"Media";"0";"52998206"
"404190_075";"France 24";"2013-06-07T13:30:00+01:00";"2013-06-07T13:41:00+01:00";"2013-06-07";"660";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998208"
"404190_076";"France 24";"2013-06-07T13:41:00+01:00";"2013-06-07T13:46:00+01:00";"2013-06-07";"300";"Les arts de vivre : [émission du 07 juin 2013]";"Les arts de vivre";"";"";"Achat de droits commande";"";"";"";"Reportage";"";"0";"52998209"
"404190_077";"France 24";"2013-06-07T13:46:00+01:00";"2013-06-07T13:58:00+01:00";"2013-06-07";"720";"L'entretien de France 24 : [émission du 07 juin 2013]";"L'entretien de France 24";"";"";"Production propre";"";"";"";"Interview entretien";"";"0";"52998210"
"404190_079";"France 24";"2013-06-07T14:00:00+01:00";"2013-06-07T14:10:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998212"
"404190_080";"France 24";"2013-06-07T14:10:00+01:00";"2013-06-07T14:22:00+01:00";"2013-06-07";"720";"Une semaine en Afrique : [émission du 07 juin 2013]";"Une semaine en Afrique";"";"";"Production propre";"";"";"Burggraf, Vanessa (Présentateur)";"Magazine|Reportage";"Information";"0";"52998213"
"404190_081";"France 24";"2013-06-07T14:22:00+01:00";"2013-06-07T14:27:00+01:00";"2013-06-07";"300";"Les observateurs : [émission du 07 juin 2013]";"Les observateurs";"";"";"Production propre";"";"";"Pain, Julien (Présentateur)";"Magazine|Reportage";"Information";"0";"52998214"
"404190_083";"France 24";"2013-06-07T14:30:00+01:00";"2013-06-07T14:40:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998216"
"404190_084";"France 24";"2013-06-07T14:40:00+01:00";"2013-06-07T14:48:00+01:00";"2013-06-07";"480";"Sports : [émission du 07 juin 2013]";"Sports";"";"";"Achat de droits de diffusion";"";"";"";"Magazine|Reportage";"Sports";"0";"52998217"
"404190_085";"France 24";"2013-06-07T14:48:00+01:00";"2013-06-07T14:56:00+01:00";"2013-06-07";"480";"Tech 24 : [émission du 07 juin 2013]";"Tech 24";"";"";"Production propre";"";"";"Grallet, Guillaume (Présentateur)|Paillon, Marjorie (Présentateur)";"Magazine";"Media";"0";"52998218"
"404190_087";"France 24";"2013-06-07T15:00:00+01:00";"2013-06-07T15:11:00+01:00";"2013-06-07";"660";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998220"
"404190_088";"France 24";"2013-06-07T15:11:00+01:00";"2013-06-07T15:16:00+01:00";"2013-06-07";"300";"Sur le Net : [émission du 07 juin 2013]";"Sur le Net";"";"";"Achat de droits commande";"";"";"";"Magazine|Reportage";"Media";"0";"52998221"
"404190_089";"France 24";"2013-06-07T15:16:00+01:00";"2013-06-07T15:26:00+01:00";"2013-06-07";"600";"Focus : [émission du 07 juin 2013]";"Focus";"";"";"Production propre";"";"";"";"Magazine|Reportage";"Information";"0";"52998222"
"404190_091";"France 24";"2013-06-07T15:30:00+01:00";"2013-06-07T15:40:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998224"
"404190_092";"France 24";"2013-06-07T15:40:00+01:00";"2013-06-07T15:45:00+01:00";"2013-06-07";"300";"Sports : [émission du 07 juin 2013]";"Sports";"";"";"Achat de droits de diffusion";"";"";"";"Magazine|Reportage";"Sports";"0";"52998225"
"404190_093";"France 24";"2013-06-07T15:45:00+01:00";"2013-06-07T15:57:00+01:00";"2013-06-07";"720";"Une semaine aux Amériques : [émission du 07 juin 2013]";"Une semaine aux Amériques";"";"";"Production propre";"";"";"Kahane, Raphaël (Présentateur)";"Magazine|Reportage";"Information";"0";"52998226"
"404190_095";"France 24";"2013-06-07T16:00:00+01:00";"2013-06-07T16:12:00+01:00";"2013-06-07";"720";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998228"
"404190_096";"France 24";"2013-06-07T16:12:00+01:00";"2013-06-07T16:27:00+01:00";"2013-06-07";"900";"Grozny";"Billet retour";"";"";"";"";"";"Fayolle, Valérie (Présentateur)";"Magazine|Reportage";"";"0";"53216530"
"404190_098";"France 24";"2013-06-07T16:30:00+01:00";"2013-06-07T16:42:00+01:00";"2013-06-07";"720";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998231"
"404190_099";"France 24";"2013-06-07T16:42:00+01:00";"2013-06-07T16:56:00+01:00";"2013-06-07";"840";"Une semaine en Afrique : [émission du 07 juin 2013]";"Une semaine en Afrique";"";"";"Production propre";"";"";"Burggraf, Vanessa (Présentateur)";"Magazine|Reportage";"Information";"0";"52998232"
"404190_101";"France 24";"2013-06-07T17:00:00+01:00";"2013-06-07T17:10:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998234"
"404190_102";"France 24";"2013-06-07T17:10:41+01:00";"2013-06-07T17:57:43+01:00";"2013-06-07";"2822";"La semaine de l'éco : [1ère partie]";"La semaine de l'éco";"";"Magazine hebdomadaire en deux parties présenté par Stéphanie ANTOINE au cours duquel plusieurs invités débattent de l'actualité économique internationale : la révolte en Turquie et le voyage de François Hollande au Japon.";"Production propre";"France 24, 2013 (Producteur)";"répression|relations économiques|crise politique|grève générale|chef d'entreprise|place|politique intérieure|Istanbul|Japon|France|Erdogan, Recep Tayyip|industrie|démocratie|relations diplomatiques|chef d'Etat|manifestation|police|voyage officiel|liberté d'expression|révolte|Turquie|violence|Guler, Muammer|Hollande, François";"Zlotowski, Yves (Participant)|Dessertine, Philippe (Participant)|Unal, Deniz (Participant)|Kateb, Alexandre (Participant)|Antoine, Stéphanie (Présentateur)";"Débat";"Arts";"0";"52998235"
"404190_104";"France 24";"2013-06-07T17:30:00+01:00";"2013-06-07T17:40:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998237"
"404190_105";"France 24";"2013-06-07T17:40:00+01:00";"2013-06-07T17:57:00+01:00";"2013-06-07";"1020";"La semaine de l'éco : [2ème partie]";"La semaine de l'éco";"";"";"Production propre";"";"";"Antoine, Stéphanie (Présentateur)";"Débat";"Arts";"0";"52998238"
"404190_107";"France 24";"2013-06-07T18:00:18+01:00";"2013-06-07T18:14:48+01:00";"2013-06-07";"870";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"France 24, 2013 (Producteur)";"";"Racine, Audrey (Présentateur)|Foucaud, Ludovic de (Présentateur)";"Journal télévisé";"";"0";"52998240"
"404190_108";"France 24";"2013-06-07T18:15:19+01:00";"2013-06-07T21:47:16+01:00";"2013-06-07";"12717";"[Nicolas Beytout]";"L'invité de l'économie";"";"";"Production propre";"France 24, 2013 (Producteur)";"quotidien|actualité|Beytout, Nicolas|presse écrite|journaliste|média|économie";"Beytout, Nicolas (Participant)|Antoine, Stéphanie (Présentateur)";"Interview entretien";"";"0";"52998241"
"404190_110";"France 24";"2013-06-07T18:30:22+01:00";"2013-06-07T18:44:52+01:00";"2013-06-07";"870";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"France 24, 2013 (Producteur)";"";"Racine, Audrey (Présentateur)";"Journal télévisé";"";"0";"52998243"
"404190_111";"France 24";"2013-06-07T18:45:57+01:00";"2013-06-07T18:57:07+01:00";"2013-06-07";"670";"Une semaine en France : [émission du 07 juin 2013]";"Une semaine en France";"";"Magazine hebdomadaire revenant sur l'actualité politique et sociétale en France. Présenté par Marion GAUDIN, il alterne les plateaux, les reportages et les brèves en images.";"Production propre";"France 24, 2013 (Producteur)";"";"Gaudin, Marion (Présentateur)";"Magazine|Reportage";"Information";"0";"52998244"
"404190_114";"France 24";"2013-06-07T19:01:06+01:00";"2013-06-07T19:11:13+01:00";"2013-06-07";"607";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"France 24, 2013 (Producteur)";"";"Fayolle, Valérie (Présentateur)";"Journal télévisé";"";"0";"52998247"
"404190_113";"France 24";"2013-06-07T19:11:06+01:00";"2013-06-07T19:45:58+01:00";"2013-06-07";"2092";"Une semaine dans le monde : [1ère partie]";"Une semaine dans le monde";"";"Vanessa BURGGRAF anime ce débat en deux parties au cours duquel elle revient sur les faits marquants de l'actualité de la semaine en présence de plusieurs invités spécialistes de politique étrangère.";"Production propre";"France 24, 2013 (Producteur)";"répression|décès|conflit|crise politique|extrême gauche|victime|fanatisme|extrême droite|armée|Istanbul|Syrie|Erdogan, Recep Tayyip|courant politique|militant|société|manifestation|contamination|Méric, Clément|révolte|Turquie|idéologie politique|arme chimique";"Orcival, François d' (Participant)|Clémenceau, François (Participant)|Burggraf, Vanessa (Présentateur)|Frachon, Alain (Participant)|Limam, Zyad (Participant)";"Magazine|Débat";"";"0";"52998246"
"404190_116";"France 24";"2013-06-07T19:30:00+01:00";"2013-06-07T19:31:00+01:00";"2013-06-07";"60";"Rappel des titres : [émission du 07 juin 2013]";"Rappel des titres";"";"";"Production propre";"";"";"";"Message info";"Information";"0";"52998249"
"404190_117";"France 24";"2013-06-07T19:31:00+01:00";"2013-06-07T19:48:00+01:00";"2013-06-07";"1020";"Une semaine dans le monde : [2ème partie]";"Une semaine dans le monde";"";"";"Production propre";"";"";"Burggraf, Vanessa (Présentateur)";"Magazine|Débat";"";"0";"52998250"
"404190_118";"France 24";"2013-06-07T19:48:00+01:00";"2013-06-07T19:56:00+01:00";"2013-06-07";"480";"Journal de l'économie : [émission du 07 juin 2013]";"Journal de l'économie";"";"";"Production propre";"";"";"";"Magazine|Reportage";"Economie";"0";"52998251"
"404190_120";"France 24";"2013-06-07T20:00:40+01:00";"2013-06-07T20:14:26+01:00";"2013-06-07";"826";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"France 24, 2013 (Producteur)";"";"Gaudin, Marion (Présentateur)";"Journal télévisé";"";"0";"52998253"
"404190_121";"France 24";"2013-06-07T20:10:00+01:00";"2013-06-07T20:14:00+01:00";"2013-06-07";"240";"Sports : [émission du 07 juin 2013]";"Sports";"";"";"Achat de droits de diffusion";"";"";"Gorjestani, Kéthévane (Présentateur)";"Magazine|Reportage";"Sports";"0";"52998254"
"404190_122";"France 24";"2013-06-07T20:14:00+01:00";"2013-06-07T20:17:00+01:00";"2013-06-07";"180";"Rappel des titres : [émission du 07 juin 2013]";"Rappel des titres";"";"";"Production propre";"";"";"";"Message info";"Information";"0";"52998255"
"404190_123";"France 24";"2013-06-07T20:15:16+01:00";"2013-06-07T20:20:54+01:00";"2013-06-07";"338";"Economie : [émission du 07 juin 2013]";"Economie";"";"";"Production propre";"France 24, 2013 (Producteur)";"";"Mascarello, Myriam (Présentateur)";"Magazine|Reportage";"Economie";"0";"52998256"
"404190_125";"France 24";"2013-06-07T20:30:00+01:00";"2013-06-07T20:42:00+01:00";"2013-06-07";"720";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998258"
