Identifiant;Chaine;startDate;DureeSecondes;TitreSujet;TitreEmission;TitreCollection;TitreTrancheHoraire;Chapeau;Descripteurs;Generique
"5028511_001_003";"France 2";"2013-06-07T06:55:03+01:00";"19";"Bande annonce émission : CE SOIR OU JAMAIS";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5028511_001_004";"France 2";"2013-06-07T06:55:22+01:00";"11";"Bande annonce émission : TIRAGE DE L EURO MILLIONS";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5028509_001_010";"France 2";"2013-06-07T06:55:33+01:00";"124";"Point route : [émission du 7 juin 2013]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_011";"France 2";"2013-06-07T06:57:37+01:00";"4";"[Plateau : 6ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_012";"France 2";"2013-06-07T06:57:41+01:00";"143";"Météo 2 : [émission du 7 juin 2013]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_013";"France 2";"2013-06-07T07:00:04+01:00";"652";"7h00 le journal : [émission du 7 juin 2013]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028514_001_001";"France 2";"2013-06-07T07:00:19+01:00";"24";"Brève : DIRECTION POLICE JUDICIAIRE 46 BD BESSIERES PARIS 17eme";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028514_001_002";"France 2";"2013-06-07T07:00:44+01:00";"44";"PLT MIXé/DIREC. POLICE JUDICIAIRE 7 GARDéS A VUE";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)|Zephirin, Laura (Journaliste)"
"5028514_001_003";"France 2";"2013-06-07T07:01:28+01:00";"26";"Brève : MANIFESTATIONS HIER PARIS ET PROVINCE";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028514_001_004";"France 2";"2013-06-07T07:01:54+01:00";"15";"Brève : CARTE LA FRANCILIENNE fontenay-en-parisis (val d'oise)/AGENT DES ROUTES ";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028514_001_005";"France 2";"2013-06-07T07:02:09+01:00";"27";"Brève : HOLLANDE AU JAPON/palais impérial";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028514_001_006";"France 2";"2013-06-07T07:02:37+01:00";"27";"HOLLANDE (demande libération 2 journalistes francais en syrie )";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028514_001_007";"France 2";"2013-06-07T07:03:04+01:00";"17";"Plateau lancement : PLT MIXé/les enjeux HOLLANDE AU JAPON";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";""
"5028514_001_008";"France 2";"2013-06-07T07:03:21+01:00";"63";"PLT MIXé/les enjeux HOLLANDE AU JAPON";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)|Astruc, Valérie (Journaliste)"
"5028514_001_009";"France 2";"2013-06-07T07:04:24+01:00";"22";"Brève : ERDOGAN/RETOUR EN TURQUIE";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028514_001_010";"France 2";"2013-06-07T07:05:02+01:00";"63";"GAZ DE SCHISTE/EXPLOITATION RAISONNÉE (rapport interministériel)";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)|Vion, Frédéric (Journaliste)"
"5028514_001_011";"France 2";"2013-06-07T07:06:05+01:00";"16";"Brève : NEW OFF/deficit sécurité sociale en 2013 : 14,3 milliards euros";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028514_001_012";"France 2";"2013-06-07T07:06:36+01:00";"54";"RAPPORT HAUSSE ALCOOL/PRECONISATIONS";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)|Flieller, Anouchka (Journaliste)"
"5028514_001_013";"France 2";"2013-06-07T07:07:30+01:00";"13";"Plateau lancement : PAVILLON BLEU DECERNé aujourd'hui";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";""
"5028514_001_014";"France 2";"2013-06-07T07:07:43+01:00";"59";"PAVILLON BLEU DECERNé aujourd'hui";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)|Ricottier, Simon (Journaliste)"
"5028514_001_015";"France 2";"2013-06-07T07:08:42+01:00";"21";"Brève : BASKET FINALE NBA/VICTOIRE SPURS 1ER MATCH";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028514_001_016";"France 2";"2013-06-07T07:09:19+01:00";"67";"ROLAND GARROS/TSONGA EN DEMI FINALE";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)|Benedetto, Julien (Journaliste)"
"5028514_001_017";"France 2";"2013-06-07T07:10:26+01:00";"6";"Plateau lancement : Fin";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";""
"5028514_001_018";"France 2";"2013-06-07T07:10:32+01:00";"6";"Fin";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028509_001_014";"France 2";"2013-06-07T07:10:56+01:00";"55";"[Plateau : 7ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_015";"France 2";"2013-06-07T07:11:51+01:00";"204";"Environs";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_016";"France 2";"2013-06-07T07:15:15+01:00";"29";"[Plateau : 8ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_017";"France 2";"2013-06-07T07:15:44+01:00";"205";"Sans frontières";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_018";"France 2";"2013-06-07T07:19:09+01:00";"3";"[Plateau : 9ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_019";"France 2";"2013-06-07T07:19:12+01:00";"254";"Revue de presse";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_020";"France 2";"2013-06-07T07:23:26+01:00";"35";"[Plateau : 10ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_021";"France 2";"2013-06-07T07:24:01+01:00";"94";"Météo 2 : [émission du 7 juin 2013]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_022";"France 2";"2013-06-07T07:25:35+01:00";"6";"[Plateau : 11ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_053";"France 2";"2013-06-07T07:25:41+01:00";"260";"[Interprogrammes F2 de 7 heures : programme du 7 juin 2013]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028516_001_001";"France 2";"2013-06-07T07:25:41+01:00";"260";"Pub 2 07h30";"[Interprogrammes F2 de 7 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 7 heures]";"";"";""
"5028509_001_023";"France 2";"2013-06-07T07:30:01+01:00";"7";"[Plateau : 12ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_024";"France 2";"2013-06-07T07:30:08+01:00";"525";"7h30 le journal : [émission du 7 juin 2013]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028517_001_001";"France 2";"2013-06-07T07:30:16+01:00";"22";"Brève : DIRECTION POLICE JUDICIAIRE 46 BD BESSIERES PARIS 17eme";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028517_001_002";"France 2";"2013-06-07T07:30:44+01:00";"44";"PLT MIXé DIREC. POLICE JUDICIAIRE/7 GARDéS A VUE";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)|Zephirin, Laura (Journaliste)"
"5028517_001_003";"France 2";"2013-06-07T07:31:28+01:00";"16";"Brève : MANIFESTATIONS HIER PARIS ET PROVINCE";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)"
"5028517_001_004";"France 2";"2013-06-07T07:32:07+01:00";"18";"OTAGES SYRIE/EUROPE 1 (facade)";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)"
"5028517_001_005";"France 2";"2013-06-07T07:32:25+01:00";"1";"Plateau lancement : HOLLANDE/demande libération 2 journalistes en syrie)";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";""
"5028517_001_006";"France 2";"2013-06-07T07:32:26+01:00";"27";"HOLLANDE/demande libération 2 journalistes en syrie)";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)"
"5028517_001_007";"France 2";"2013-06-07T07:32:53+01:00";"16";"Plateau lancement : PLT MIXé/les enjeux HOLLANDE AU JAPON";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";""
"5028517_001_008";"France 2";"2013-06-07T07:33:09+01:00";"63";"PLT MIXé/les enjeux HOLLANDE AU JAPON";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)|Astruc, Valérie (Journaliste)"
"5028517_001_009";"France 2";"2013-06-07T07:34:12+01:00";"12";"Plateau lancement : FILLON/ ""JE SUIS CANDIDAT""";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";""
"5028517_001_010";"France 2";"2013-06-07T07:34:24+01:00";"25";"FILLON/ ""JE SUIS CANDIDAT""";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)"
"5028517_001_011";"France 2";"2013-06-07T07:34:49+01:00";"13";"Plateau lancement : GAZ DE SCHISTE/EXPLOITATION RAISONNÉE (rapport interministér";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";""
"5028517_001_012";"France 2";"2013-06-07T07:35:02+01:00";"61";"GAZ DE SCHISTE/EXPLOITATION RAISONNÉE (rapport interministériel)";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)|Vion, Frédéric (Journaliste)"
"5028517_001_013";"France 2";"2013-06-07T07:36:03+01:00";"27";"Brève : NEW OFF/PAVILLON BLEU DECERNé aujourd'hui";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)"
"5028517_001_014";"France 2";"2013-06-07T07:36:46+01:00";"46";"EUROMILLIONS""super jackpot exceptionnel"" 100 millions euros";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)|Flieller, Anouchka (Journaliste)"
"5028517_001_015";"France 2";"2013-06-07T07:37:32+01:00";"14";"Plateau lancement : ROLAND GARROS/TSONGA EN DEMI FINALE";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";""
"5028517_001_016";"France 2";"2013-06-07T07:37:46+01:00";"66";"ROLAND GARROS/TSONGA EN DEMI FINALE";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)|Benedetto, Julien (Journaliste)"
"5028517_001_017";"France 2";"2013-06-07T07:38:52+01:00";"10";"Plateau lancement : Fin";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";""
"5028509_001_025";"France 2";"2013-06-07T07:38:53+01:00";"34";"[Plateau : 13ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028517_001_018";"France 2";"2013-06-07T07:39:02+01:00";"10";"Fin";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)"
"5028509_001_026";"France 2";"2013-06-07T07:39:27+01:00";"304";"Nouveau";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_027";"France 2";"2013-06-07T07:44:31+01:00";"11";"[Plateau : 14ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_052";"France 2";"2013-06-07T07:44:42+01:00";"254";"[Interprogrammes F2 de 7 heures : programme du 7 juin 2013]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028518_001_001";"France 2";"2013-06-07T07:44:42+01:00";"254";"Pub 2 07h50";"[Interprogrammes F2 de 7 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 7 heures]";"";"";""
"5028509_001_028";"France 2";"2013-06-07T07:48:56+01:00";"17";"[Plateau : 15ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_029";"France 2";"2013-06-07T07:49:13+01:00";"550";"Les 4 vérités : Frédéric Saldmann";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_030";"France 2";"2013-06-07T07:58:23+01:00";"3";"[Plateau : 16ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_031";"France 2";"2013-06-07T07:58:26+01:00";"112";"Météo 2 : [émission du 7 juin 2013]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_032";"France 2";"2013-06-07T08:00:18+01:00";"669";"8h00 le journal : [émission du 7 juin 2013]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028521_001_001";"France 2";"2013-06-07T08:00:24+01:00";"30";"Brève : OTAGES SYRIE (façade europe1)";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028521_001_002";"France 2";"2013-06-07T08:00:55+01:00";"25";"HOLLANDE (demande libération journalistes francais en syrie )";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028521_001_003";"France 2";"2013-06-07T08:01:20+01:00";"15";"Plateau lancement : PLT MIXé/DIREC. POLICE JUDICIAIRE 7 GARDéS A VUE";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";""
"5028521_001_004";"France 2";"2013-06-07T08:01:35+01:00";"45";"PLT MIXé/DIREC. POLICE JUDICIAIRE 7 GARDéS A VUE";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)|Zephirin, Laura (Journaliste)"
"5028521_001_005";"France 2";"2013-06-07T08:02:20+01:00";"20";"Brève : MANIFESTATIONS HIER PARIS ET PROVINCE";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028521_001_006";"France 2";"2013-06-07T08:02:40+01:00";"24";"Brève : HOLLANDE AU JAPON/palais imperial";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028521_001_007";"France 2";"2013-06-07T08:03:05+01:00";"63";"PLT MIXé/LES ENJEUX HOLLANDE AU JAPON: les enjeux";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)|Astruc, Valérie (Journaliste)"
"5028521_001_008";"France 2";"2013-06-07T08:04:08+01:00";"22";"Brève : ERDOGAN/RETOUR EN TURQUIE";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028521_001_009";"France 2";"2013-06-07T08:04:45+01:00";"23";"FILLON/""je suis candidat""";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028521_001_010";"France 2";"2013-06-07T08:05:08+01:00";"17";"Plateau lancement : GAZ DE SCHISTE/EXPLOITATION RAISONNÉE (rapport interministér";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";""
"5028521_001_011";"France 2";"2013-06-07T08:05:25+01:00";"68";"GAZ DE SCHISTE/EXPLOITATION RAISONNÉE (rapport interministériel)";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)|Vion, Frédéric (Journaliste)"
"5028521_001_012";"France 2";"2013-06-07T08:06:33+01:00";"12";"Brève : NEW OFF/deficit sécurité sociale en 2013 : 14,3 milliards euros";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028521_001_013";"France 2";"2013-06-07T08:06:45+01:00";"16";"Brève : CARTE LA FRANCILIENNE fontenay-en-parisis (val d'oise)/AGENT DES ROUTES ";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028521_001_014";"France 2";"2013-06-07T08:07:26+01:00";"60";"PAVILLON BLEU DECERNé aujourd'hui";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)|Ricottier, Simon (Journaliste)"
"5028521_001_015";"France 2";"2013-06-07T08:08:26+01:00";"20";"Brève : BASKET FINALE NBA/VICTOIRE SPURS 1ER MATCH";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028521_001_016";"France 2";"2013-06-07T08:08:59+01:00";"68";"ROLAND GARROS/TSONGA EN DEMI FINALE";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)|Benedetto, Julien (Journaliste)"
"5028521_001_017";"France 2";"2013-06-07T08:10:07+01:00";"22";"Brève : ROBES EN PAPIER WC";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"";"Rincquesen, Nathanaël de (Présentateur)"
"5028509_001_033";"France 2";"2013-06-07T08:11:27+01:00";"89";"[Plateau : 17ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_051";"France 2";"2013-06-07T08:12:56+01:00";"195";"[Interprogrammes F2 de 8 heures : programme du 7 juin 2013]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028522_001_001";"France 2";"2013-06-07T08:12:56+01:00";"17";"Bande annonce programme : TANGO";"[Interprogrammes F2 de 8 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 8 heures]";"";"";""
"5028522_001_002";"France 2";"2013-06-07T08:13:13+01:00";"8";"Bande annonce programme : CE SOIR OU JAMAIS";"[Interprogrammes F2 de 8 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 8 heures]";"";"";""
"5028522_001_003";"France 2";"2013-06-07T08:13:21+01:00";"11";"Bande annonce programme : RETOUR A ROLAND GARROS";"[Interprogrammes F2 de 8 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 8 heures]";"";"";""
"5028522_001_004";"France 2";"2013-06-07T08:13:32+01:00";"149";"Pub 2 08h14";"[Interprogrammes F2 de 8 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 8 heures]";"";"";""
"5028522_001_005";"France 2";"2013-06-07T08:16:01+01:00";"10";"Bande annonce émission : TIRAGE DE L EURO MILLIONS";"[Interprogrammes F2 de 8 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 8 heures]";"";"";""
"5028509_001_034";"France 2";"2013-06-07T08:16:11+01:00";"17";"[Plateau : 18ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_035";"France 2";"2013-06-07T08:16:28+01:00";"401";"Jardins et balcons";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_036";"France 2";"2013-06-07T08:23:09+01:00";"3";"[Plateau : 19ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_037";"France 2";"2013-06-07T08:23:12+01:00";"319";"Bloc notes";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_038";"France 2";"2013-06-07T08:28:31+01:00";"6";"[Plateau : 20ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_039";"France 2";"2013-06-07T08:28:37+01:00";"324";"Musiques";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_040";"France 2";"2013-06-07T08:34:01+01:00";"28";"[Plateau : 21ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028523_001_001";"France 2";"2013-06-07T08:34:29+01:00";"264";"Pub 2 08h20";"[Interprogrammes F2 de 8 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 8 heures]";"";"";""
